key,PID,ST_NUM,ST_NAME,ST_NAME_SUF,ZIPCODE,OWN_OCC,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF,YR_BUILT,YR_REMOD,GROSS_AREA,LIVING_AREA,NUM_FLOORS,R_TOTAL_RMS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_KITCH,R_FPLACE,FULLADD,R_TOTAL_BTH,MARKET_VALUE,DIS0,DIS1,DIS2,DIS3,DIS4,DIS5,ZIP_MV,LU_R1,LU_R2,LU_R3,R_BLDG_STYL_BW,R_BLDG_STYL_CL,R_BLDG_STYL_CN,R_BLDG_STYL_CP,R_BLDG_STYL_CV,R_BLDG_STYL_DK,R_BLDG_STYL_DX,R_BLDG_STYL_OT,R_BLDG_STYL_RE,R_BLDG_STYL_RM,R_BLDG_STYL_RN,R_BLDG_STYL_RR,R_BLDG_STYL_SD,R_BLDG_STYL_SL,R_BLDG_STYL_TD,R_BLDG_STYL_TF,R_BLDG_STYL_TL,R_BLDG_STYL_VT,R_ROOF_TYP_F,R_ROOF_TYP_G,R_ROOF_TYP_H,R_ROOF_TYP_L,R_ROOF_TYP_M,R_ROOF_TYP_S,R_EXT_FIN_A,R_EXT_FIN_B,R_EXT_FIN_C,R_EXT_FIN_F,R_EXT_FIN_G,R_EXT_FIN_M,R_EXT_FIN_O,R_EXT_FIN_P,R_EXT_FIN_S,R_EXT_FIN_U,R_EXT_FIN_V,R_EXT_FIN_W,R_BTH_STYLE_L,R_BTH_STYLE_M,R_BTH_STYLE_N,R_BTH_STYLE_S,R_KITCH_STYLE_L,R_KITCH_STYLE_M,R_KITCH_STYLE_N,R_KITCH_STYLE_S,R_HEAT_TYP_E,R_HEAT_TYP_F,R_HEAT_TYP_N,R_HEAT_TYP_O,R_HEAT_TYP_P,R_HEAT_TYP_S,R_HEAT_TYP_W,R_AC_C,R_AC_D,R_AC_N,R_AC_Y,R_EXT_CND_A,R_EXT_CND_E,R_EXT_CND_F,R_EXT_CND_G,R_EXT_CND_P,R_OVRALL_CND_A,R_OVRALL_CND_E,R_OVRALL_CND_F,R_OVRALL_CND_G,R_OVRALL_CND_P,R_INT_CND_A,R_INT_CND_E,R_INT_CND_F,R_INT_CND_G,R_INT_CND_P,R_INT_FIN_E,R_INT_FIN_N,R_INT_FIN_S,R_VIEW_A,R_VIEW_E,R_VIEW_F,R_VIEW_G,R_VIEW_P,PTYPE_101.0,PTYPE_104.0,PTYPE_105.0,Residual,Appreciation_2020,1yr_Increase,MVReno19_INT_COND,MVReno20_INT_COND,Prof19_INT_COND,Prof20_INT_COND,Expected_RenoCost_INT_COND,MVReno19_EXT_COND,MVReno20_EXT_COND,Prof19_EXT_COND,Prof20_EXT_COND,Expected_RenoCost_EXT_COND,MVReno19_INT_FIN,MVReno20_INT_FIN,Prof19_INT_FIN,Prof20_INT_FIN,Expected_RenoCost_INT_FIN,MVReno19_EXT_FIN,MVReno20_EXT_FIN,Prof19_EXT_FIN,Prof20_EXT_FIN,Expected_RenoCost_EXT_FIN,MVReno19_FRPL,MVReno20_FRPL,Prof19_FRPL,Prof20_FRPL,Expected_RenoCost_FRPL,MVReno19_ROOF_M,MVReno20_ROOF_M,Prof19_ROOF_M,Prof20_ROOF_M,Expected_RenoCost_ROOF_M,MVReno19_KITCHEN_L,MVReno20_KITCHEN_L,Prof19_KITCHEN_L,Prof20_KITCHEN_L,Expected_RenoCost_KITCHEN_L,MVReno19_KITCHEN_M,MVReno20_KITCHEN_M,Prof19_KITCHEN_M,Prof20_KITCHEN_M,Expected_RenoCost_KITCHEN_M,Max_Prof,PER_Max_Prof,latitude,longitude
2019,300089000,57,HANCOCK,ST,2114,1,1745000,2752900,2901557,1690.0,1876.0,2010.0,8.912607963670899,8.473450268468321,5.0,14.0,3.0,4.0,0.0,3.0,3.0,"57 Hancock St Boston, MA 02114",4.0,3904838.051587384,-0.436598724069906,-0.18655314278220336,-0.04391687518923259,0.1889689279402076,0.3486800925104021,1.863023976065889,14.945179583625762,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,7457.306944490876,3934711.1692107427,29873.1176233585,4528554,4554501,608716,634663,15000,4003922,4026862,91283,114224,7800,3912295,3934711,-12542,9873,20000,3912295,3934711,-17542,4873,25000,3793824,3815561,-114213,-92476,3200,3912295,3934711,-8542,13873,16000,4073986,4097328,143148,166490,26000,4115381,4138960,194543,218122,16000,634663,0.16253247679298724,42.31365815,-71.0655355019951
2019,400503000,123,PEMBROKE,ST,2118,1,1597100,2375800,2504093,1440.0,1865.0,1985.0,8.508757712595136,8.326032685955079,5.0,10.0,5.0,2.0,1.0,2.0,0.0,"123 Pembroke St Boston, MA 02118",2.5,3206820.860065702,-1.165870137184643,-1.0607866856895634,-0.2694346246270227,-0.2073223744492823,-0.016013274321576815,1.0226983484381786,15.003281146972208,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,-10601.222869345453,3214532.6344804773,7711.774414775427,3699683,3720881,477862,499060,15000,3238236,3256790,23615,42169,7800,3510469,3530583,283648,303762,20000,3196219,3214532,-35601,-17288,25000,3245740,3264337,35719,54316,3200,3196219,3214532,-26601,-8288,16000,3328316,3347385,95495,114565,26000,3362134,3381398,139313,158577,16000,499060,0.15562453338593263,42.342924700000005,-71.07693590000001
2019,400275000,74,MONTGOMERY,ST,2116,1,2579700,3167000,3338018,1020.0,1890.0,2013.0,8.190908881182514,8.125039097367745,4.0,14.0,3.0,3.0,1.0,1.0,1.0,"74 Montgomery St Boston, MA 02116",3.5,4110372.349411539,-1.2462447960379517,-0.7593706558453646,-0.3529302338248197,-0.1324069723128423,-0.12561379844190484,0.9037752849699184,14.971704373416015,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,14413.408142082393,4148419.0490510473,38046.6996395085,4124785,4148419,2413,26046,12000,4124785,4148419,8113,31746,6300,4530331,4556288,403959,429916,16000,4124785,4148419,-5586,18046,20000,4124785,4148419,11213,34846,3200,4124785,4148419,-1586,22046,16000,4124785,4148419,-11586,12046,26000,4166696,4190570,40324,64197,16000,429916,0.1045929573902347,42.3432688,-71.0745960288246
2019,400453000,178,W CANTON,ST,2116,0,2105600,3182500,3354355,2184.0,1860.0,2017.0,8.369157112588834,8.30671904320269,4.0,10.0,4.0,2.0,1.0,3.0,4.0,"178 W Canton St Boston, MA 02116",2.5,4071218.1242358014,-1.3601099592532566,-0.8930395812024766,-0.2961509876564013,-0.18236174905096847,-0.0898999524463533,0.9748930352980774,14.971704373416015,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,-435.7894698642194,4094106.209312371,22888.08507656958,4385802,4410931,302584,327713,12000,4124295,4147926,46777,70408,6300,4471018,4496636,383800,409417,16000,4070782,4094106,-20435,2888,20000,3887284,3909556,-187133,-164861,3200,4070782,4094106,-16435,6888,16000,4029835,4052925,-67382,-44292,26000,4070782,4094106,-16435,6888,16000,409417,0.10056375942196678,42.343635799999994,-71.07595744072358
2019,402681000,41,CONCORD,SQ,2118,1,2267100,3142000,3311668,1870.0,1865.0,2005.0,8.364973978438726,8.114025442356757,4.0,8.0,2.0,2.0,2.0,1.0,0.0,"41 Concord Sq Boston, MA 02118",3.0,4080877.3079570304,-1.5043239913695932,-0.8782747196004088,-0.4599608402104742,-0.056076757602094005,0.1008449918336405,1.1152773809534868,15.003281146972208,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,-3986.8752211439423,4100249.3041205327,19371.996163502336,4392383,4417549,299506,324672,12000,4076890,4100249,-10286,13071,6300,4477727,4503383,380850,406505,16000,4076890,4100249,-23986,-628,20000,4140056,4163776,55978,79699,3200,4076890,4100249,-19986,3371,16000,4076890,4100249,-29986,-6628,26000,4118314,4141911,21437,45033,16000,406505,0.09961215918140519,42.3418791,-71.0791125043109
2019,400077000,113,APPLETON,ST,2116,0,1582500,2135100,2250395,1170.0,1900.0,1985.0,8.198089248956116,8.070593539949519,4.0,14.0,6.0,3.0,1.0,3.0,2.0,"113 Appleton St Boston, MA 02116",3.5,2938611.668742196,-1.8513453572618144,-0.6192344111578799,-0.49773471547746,-0.2599826824692163,-0.09907923607943094,0.9742015667049722,14.971704373416015,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,11332.931468453258,2966846.5448778034,28234.87613560725,3326880,3345941,376268,395330,12000,2988723,3005847,43812,60936,6300,3239981,3258544,285369,303933,16000,2949944,2966846,-8667,8234,20000,2904936,2921580,-36875,-20230,3200,2949944,2966846,-4667,12234,16000,2988713,3005837,24102,41226,26000,3019081,3036379,64470,81768,16000,395330,0.13452951412569997,42.3453486,-71.0742688
2019,501750000,88,PINCKNEY,ST,2114,1,2135100,3073100,3239048,1064.0,1830.0,2012.0,8.193123721512068,7.978996370854116,4.0,9.0,4.0,3.0,1.0,1.0,5.0,"88 Pinckney St Boston, MA 02114",3.5,4006918.5685353386,-1.7636040724166833,-0.8603759053750049,-0.7984019424724054,-0.5973254946248776,-0.5800041491789996,0.5672297814997928,14.945179583625762,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,-12488.1026036283,4017316.8763094344,10398.307774095796,3994430,4017316,-24488,-1601,12000,3994430,4017316,-18788,4098,6300,4387160,4412296,364241,389378,16000,3994430,4017316,-32488,-9601,20000,3756177,3777698,-253941,-232420,3200,3994430,4017316,-28488,-5601,16000,3954252,3976908,-78666,-56010,26000,3994430,4017316,-28488,-5601,16000,389378,0.09717641957029602,42.35871695,-71.0700710551295
2019,305830000,16,BOND,ST,2118,1,1209300,1708500,1800759,1260.0,1890.0,1986.0,8.215006432761575,7.897668150726906,2.0,9.0,2.0,1.0,0.0,1.0,0.0,"16 Bond St Boston, MA 02118",1.0,2273162.59556842,-0.8797570980676777,-0.6534699027895554,-0.4319182765756243,-0.3288062615921161,-0.32667478628202273,0.9561385969886464,15.003281146972208,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,3681.401553259697,2289889.3577878918,16726.762219471857,2635489,2650589,356326,371427,6000,2306774,2319991,30312,43529,3300,2500701,2515029,219539,233867,8000,2276843,2289889,-6318,6726,10000,2312120,2325368,35757,49005,3200,2378923,2392553,89760,103390,16000,2370943,2384528,71781,85365,26000,2395034,2408756,105871,119594,16000,371427,0.16339658268357268,42.34341485,-71.0696018774096
2019,500906000,28,APPLETON,ST,2116,0,1479300,1888700,1990690,944.0,1899.0,2012.0,8.358900612421644,7.816416983691801,3.0,15.0,5.0,3.0,2.0,3.0,0.0,"28 Appleton St Boston, MA 02116",4.0,2716001.375684312,-1.4264978453718284,-0.759212587057703,-0.4421910846937981,-0.3843622452232941,-0.2531043791715949,0.8625081578516499,14.971704373416015,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,12193.565674337093,2743826.3535339017,27824.97784958966,3076795,3094424,351794,369423,9000,2728194,2743826,7393,23024,4800,2996429,3013597,268427,285596,12000,2728194,2743826,-2806,12824,15000,2770464,2786338,51263,67136,3200,2728194,2743826,-3806,11824,16000,2700753,2716227,-41248,-25774,26000,2728194,2743826,-3806,11824,16000,369423,0.1360172359658403,42.34586145,-71.0714876
2019,503320000,5,EXETER,ST,2116,1,2230300,3183600,3355515,1392.0,1890.0,2012.0,8.403800504061147,8.345455428161927,4.0,11.0,4.0,3.0,1.0,2.0,2.0,"5 Exeter St Boston, MA 02116",3.5,4195720.078089497,-0.7694919815431047,-0.3500088487497892,-0.2505027636422222,-0.22415308323749605,-0.09338897687426033,0.946480169564522,14.971704373416015,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,6975.610243116505,4226775.3710398795,31055.292950382456,4527924,4553867,320204,346147,12000,4202695,4226775,675,24755,6300,4202695,4226775,-9024,15055,16000,4202695,4226775,-13024,11055,20000,4138574,4162286,-60345,-36633,3200,4202695,4226775,-9024,15055,16000,4160422,4184259,-61297,-37460,26000,4202695,4226775,-9024,15055,16000,346147,0.08250002229834563,42.3526727,-71.0812386497621
